ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
0afcda93-ccf0-4621-8612-57dbf40b9bc3,verbal_reasoning,code_words,3,"If WORD is coded as YQTF, what is the code for SMART?",UOCTV | UOCUW | UOCTU | VODTV | UOCTW,UOCTV,0,"Each letter is shifted forward by two places in the alphabet (A→C, B→D, …, Y→A, Z→B). Applying this to SMART: S→U, M→O, A→C, R→T, T→V, giving UOCTV.",,
0de5d73f-8ea2-47cd-9635-e58b05457dfa,verbal_reasoning,code_words,3,"If WORD is coded as YQTF, what is the code for TARGET?",VCTIGV | UCSHFU | WDUJHW | XEVKIW | TBSFET,VCTIGV,0,"Each letter is shifted forward by two places in the alphabet (A→C, B→D, …, Y→A, Z→B). Applying this to TARGET: T→V, A→C, R→T, G→I, E→G, T→V, giving VCTIGV.",,
1ac0f4ee-3a0f-4a9d-bf26-ae78cba8d4b0,verbal_reasoning,code_words,3,"If WORD is coded as YQTF, what is the code for TARGET?",VCTIGV | XBVJHW | UCSFHU | WDTJHV | YDSKJW,VCTIGV,0,"Each letter is shifted forward by two places in the alphabet (A→C, B→D, …, Y→A, Z→B). Applying this to TARGET: T→V, A→C, R→T, G→I, E→G, T→V, giving VCTIGV.",,
1e7578c6-fdde-4a2c-b7c8-2c3b494895e9,verbal_reasoning,code_words,3,"If CAT is coded as ZXQ, what is the code for DOG?",ALD | BME | CNG | DPH | EQI,ALD,0,"The rule is: each letter is shifted three places backwards in the alphabet (with wrap‑around). C→Z, A→X, T→Q. Applying the same shift to DOG gives D→A, O→L, G→D, so the code is ALD.",,
1f65b167-71fb-451c-9bec-5e324c8556b8,verbal_reasoning,code_words,3,"If WORD is coded as YQTF, what is the code for TARGET?",VCTIGV | UCSHFU | WDUJHW | TBRFET | XDVKIX,VCTIGV,0,"Each letter is shifted forward by two places in the alphabet (A→C, B→D, …, Y→A, Z→B). Applying this to TARGET: T→V, A→C, R→T, G→I, E→G, T→V, giving VCTIGV.",,
2e36e95f-e527-4b8f-8844-57f5c7c195a9,verbal_reasoning,code_words,3,"If WORD is coded as YQTF, what is the code for TARGET?",VCTIGV | VCUIGH | WDUJHW | VDTIGU | VCTIHW,VCTIGV,0,"Each letter is shifted forward by two places in the alphabet (A→C, B→D, …). Applying this to TARGET: T→V, A→C, R→T, G→I, E→G, T→V, giving VCTIGV.",,
345bea76-43e6-4530-a7c8-b8eb71fef206,verbal_reasoning,code_words,3,"If WORD is coded as YQTF, what is the code for TARGET?",VCTIG | WDUJH | XEVIK | YFWJL | ZG XKM,VCTIG,0,"Each letter is shifted forward by two places in the alphabet (A→C, B→D, …, Y→A, Z→B). Applying this to TARGET: T→V, A→C, R→T, G→I, E→G, giving VCTIG.",,
540ed964-9ef0-4e1c-8d52-bc0abc89f037,verbal_reasoning,code_words,3,"If BRIGHT is coded as DTKIJV, what is the code for FRIEND?",HTKGPF | GSKFOE | HSLJQE | FTLHOE | GTKMPE,HTKGPF,0,"Each letter is shifted forward by two places in the alphabet (A→C, B→D, …, Y→A, Z→B). Applying this to FRIEND: F→H, R→T, I→K, E→G, N→P, D→F, giving HTKGPF.",,
59f7cf08-8732-4fc3-ab74-fd27e05ca554,verbal_reasoning,code_words,3,"If MATH is coded as OCVJ, what is the code for WORD?",YQTF | XPSU | ZRUH | WOSF | VNRD,YQTF,0,"Each letter is shifted forward by two places in the alphabet (A→C, B→D, …, Y→A, Z→B). Applying this to WORD: W→Y, O→Q, R→T, D→F, giving YQTF.",,
6349c47c-9135-4607-a888-4874b4f5d7f9,verbal_reasoning,code_words,3,"If WORD is coded as YQTF, what is the code for TARGET?",VCTIGV | XDUJHW | UCSHFT | WDRIUX | TCQFES,VCTIGV,0,"Each letter is shifted forward by two places in the alphabet (A→C, B→D, …, Y→A, Z→B). Applying this to TARGET: T→V, A→C, R→T, G→I, E→G, T→V, giving VCTIGV.",,
