ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
04605c63-8223-4b75-b34d-008745d7bc7e,verbal_reasoning,analogies,3,Teacher is to School as Doctor is to ___,Clinic | University | Hospital | Pharmacy | Laboratory,Hospital,2,"A teacher works in a school, just as a doctor works in a hospital. Both pairs describe the professional and their primary place of work.",,
0495817f-203e-40dd-ab1a-3fd1872fb458,verbal_reasoning,analogies,3,Bird is to Nest as Bee is to ___,Hive | Flower | Honey | Comb | Stinger,Hive,0,"A bird lives in a nest, just as a bee lives in a hive. The relationship is the dwelling place of the animal.",,
0624341d-194f-4224-8b84-703cf488b111,verbal_reasoning,analogies,3,Teacher is to School as Doctor is to ___,Hospital | Clinic | University | Pharmacy | Laboratory,Hospital,0,"A teacher works in a school, just as a doctor works in a hospital. Both pairs describe the professional and their primary workplace.",,
193eb124-052f-4ba6-8dfc-7d1b8a93fdff,verbal_reasoning,analogies,3,Teacher is to School as Doctor is to ___,Hospital | Clinic | University | Office | Library,Hospital,0,"A teacher works in a school, just as a doctor works in a hospital. Both pairs show the professional and their primary place of work.",,
2df651b7-eff3-4e5e-8ed5-daceb4c6aa86,verbal_reasoning,analogies,3,PUPIL is to SCHOOL as PATIENT is to ___,HOSPITAL | CLINIC | PHARMACY | DOCTOR | MEDICINE,HOSPITAL,0,"A pupil attends a school for education, just as a patient goes to a hospital for treatment. The relationship is that both are the primary place where each person receives their main service.",,
35edfd26-0ca0-4833-8bea-3e0a9684ce84,verbal_reasoning,analogies,3,PUPIL is to SCHOOL as PLAYER is to ___,TEAM | FIELD | COACH | MATCH | UNIFORM,TEAM,0,"A pupil attends a school, just as a player belongs to a team. The relationship is one of membership/association.",,
37b59a32-f356-4932-a87c-ff295711dad2,verbal_reasoning,analogies,3,PUPIL is to SCHOOL as PATIENT is to ___,CLINIC | HOSPITAL | PHARMACY | DOCTOR | MEDICINE,HOSPITAL,1,"A pupil attends a school for education, just as a patient goes to a hospital for medical care. The relationship is 'place where the person receives the main service they need'.",,
3e96171a-4cf8-4805-86ff-6ce75231d99c,verbal_reasoning,analogies,3,PUPPY is to DOG as KITTEN is to ___,CAT | RABBIT | HORSE | MOUSE | BIRD,CAT,0,"A puppy grows into a dog, just as a kitten grows into a cat. Both pairs show a young animal and its adult form.",,
52793363-d3cd-4730-b4f4-72f203b25863,verbal_reasoning,analogies,3,Cat is to Kitten as Dog is to ___,Puppy | Cub | Foal | Calf | Chick,Puppy,0,"A cat is an adult animal and a kitten is its young. Similarly, a dog is the adult form and a puppy is the young form of the same species.",,
53be84a1-0165-4fc0-80e8-e70cfbdfeee0,verbal_reasoning,analogies,3,PUPIL is to SCHOOL as PLAYER is to ___,TEAM | FIELD | COACH | MATCH | SPORT,TEAM,0,"A pupil attends a school, just as a player belongs to a team. The relationship is 'member of' or 'part of an organisation'. Therefore the correct answer is TEAM.",,
